amount,hour,merchant_risk,distance_km,prev_txn_gap,velocity_1h,card_age_days,is_international,is_fraud
13.48,17,33.8,12.2,238.0,0,682.0,0,0
61.95,17,11.4,9.1,1594.0,2,1129.0,0,0
73.82,7,17.4,7.9,129.0,1,820.0,0,0
6.54,13,15.2,0.9,691.0,1,1147.0,0,0
3.67,13,28.7,0.6,737.0,0,717.0,0,0
42.48,3,7.5,4.7,883.0,2,735.0,0,0
20.69,22,21.8,21.8,49.0,1,311.0,0,0
27.73,17,11.9,3.3,127.0,2,1253.0,0,0
90.28,11,72.6,239.0,79.0,9,424.0,0,1
39.73,7,19.8,0.8,1590.0,2,833.0,0,0
17.81,8,35.4,6.2,1384.0,1,764.0,0,0
20.4,12,5.0,12.9,1130.0,1,366.0,0,0
25.26,17,18.1,13.4,409.0,2,1035.0,0,0
162.55,3,78.2,69.8,27.0,4,663.0,0,1
86.65,2,42.0,85.5,2.0,4,361.0,1,1
327.26,0,80.6,119.7,136.0,7,358.0,1,1
46.16,9,40.9,0.0,672.0,2,120.0,0,0
493.92,15,39.0,25.6,49.0,3,885.0,0,1
53.08,12,12.6,13.8,345.0,3,897.0,0,0
10.38,11,3.7,6.4,254.0,0,1349.0,0,0
54.4,7,61.1,9.2,1415.0,1,1633.0,0,0
9.49,4,1.8,9.5,1095.0,1,203.0,0,0
99.09,19,4.8,3.4,479.0,2,1380.0,0,0
33.73,14,30.2,31.0,601.0,1,903.0,0,0
68.33,12,24.6,13.9,755.0,1,992.0,0,0
16.63,11,66.7,18.7,752.0,0,366.0,0,0
96.48,15,25.7,6.3,1675.0,3,946.0,0,0
253.18,18,63.4,127.9,14.0,5,432.0,1,1
274.88,14,71.2,11.9,9.0,10,170.0,0,1
27.17,13,26.8,102.0,37.0,4,1.0,1,1
17.6,7,14.6,23.6,1191.0,3,770.0,0,0
412.6,11,20.0,0.4,101.0,0,1482.0,0,0
30.84,18,3.6,46.2,169.0,0,538.0,0,0
7.8,13,12.8,24.1,871.0,2,1064.0,0,0
30.27,13,7.5,13.7,769.0,1,397.0,0,0
29.83,9,22.4,1.2,412.0,1,1617.0,0,0
115.42,5,14.0,24.5,1057.0,1,951.0,0,0
56.99,14,26.0,26.4,158.0,1,1327.0,0,0
300.49,5,85.3,155.1,31.0,7,149.0,0,1
71.63,8,16.8,9.8,1058.0,0,1146.0,0,0
10.44,15,43.7,10.1,990.0,1,903.0,0,0
9.11,15,19.4,0.8,1119.0,1,1282.0,1,0
143.96,12,23.0,24.3,745.0,3,196.0,1,0
136.36,0,84.9,59.3,60.0,6,303.0,0,1
40.25,18,18.2,16.8,1065.0,2,1251.0,0,0
11.01,13,22.0,19.9,659.0,0,1457.0,0,0
1305.86,20,37.7,70.4,99.0,11,45.0,0,1
17.82,15,13.2,8.2,659.0,3,879.0,0,0
44.04,17,16.5,12.5,48.0,0,1047.0,0,0
108.28,14,16.9,15.3,421.0,2,1539.0,0,0
8.14,12,19.2,8.3,1235.0,0,1185.0,0,0
2009.56,7,70.1,71.2,23.0,3,348.0,1,1
23.58,12,27.4,4.1,820.0,2,731.0,0,0
23.87,16,11.8,1.6,581.0,5,892.0,0,0
26.07,13,36.3,25.8,722.0,0,1107.0,0,0
205.92,14,40.9,8.2,621.0,0,1308.0,0,0
37.24,7,9.8,13.7,124.0,3,278.0,0,0
66.12,9,11.7,8.1,1486.0,2,30.0,0,0
37.27,8,33.0,2.1,143.0,1,708.0,0,0
19.43,13,6.3,40.5,734.0,0,566.0,0,0
39.11,15,16.6,13.2,1591.0,2,871.0,0,0
19.62,10,20.4,0.2,238.0,1,376.0,1,0
37.45,11,14.5,21.6,777.0,1,30.0,0,0
22.18,15,7.0,4.4,414.0,3,538.0,0,0
16.9,20,27.9,20.2,1022.0,2,874.0,0,0
